Team,Week,Opponent,Home_Away,Location
Houston,1,Stephen F. Austin,Home,vs
Houston,2,Rice,Away,@
Houston,3,Colorado,Home,vs
Houston,4,Oregon State,Away,@
Houston,5,Texas Tech,Home,vs
Houston,6,Oklahoma State,Away,@
Houston,7,Arizona,Home,vs
Houston,8,Arizona State,Away,@
Houston,9,West Virginia,Home,vs
Houston,10,UCF,Away,@
Houston,11,TCU,Home,vs
Houston,12,Baylor,Away,@
Illinois,1,Western Illinois,Home,vs
Illinois,2,Duke,Away,@
Illinois,3,Western Michigan,Home,vs
Illinois,4,Indiana,Away,@
Illinois,5,USC,Home,vs
Illinois,6,Purdue,Away,@
Illinois,7,Ohio State,Home,vs
Illinois,8,Washington,Away,@
Illinois,9,Rutgers,Home,vs
Illinois,10,Maryland,Home,vs
Illinois,11,Wisconsin,Away,@
Illinois,12,Northwestern,Home,vs
Indiana,1,Old Dominion,Home,vs
Indiana,2,Kennesaw State,Home,vs
Indiana,3,Indiana State,Home,vs
Indiana,4,Illinois,Home,vs
Indiana,5,Iowa,Away,@
Indiana,6,Oregon,Away,@
Indiana,7,Michigan State,Home,vs
Indiana,8,UCLA,Home,vs
Indiana,9,Maryland,Away,@
Indiana,10,Penn State,Away,@
Indiana,11,Wisconsin,Home,vs
Indiana,12,Purdue,Away,@
Iowa,1,UAlbany,Home,vs
Iowa,2,Iowa State,Away,@
Iowa,3,Massachusetts,Home,vs
Iowa,4,Rutgers,Away,@
Iowa,5,Indiana,Home,vs
Iowa,6,Wisconsin,Away,@
Iowa,7,Penn State,Home,vs
Iowa,8,Minnesota,Home,vs
Iowa,9,Oregon,Home,vs
Iowa,10,USC,Away,@
Iowa,11,Michigan State,Home,vs
Iowa,12,Nebraska,Away,@
Iowa State,1,Kansas State,Home,vs
Iowa State,2,South Dakota,Home,vs
Iowa State,3,Iowa,Home,vs
Iowa State,4,Arkansas State,Away,@
Iowa State,5,Arizona,Home,vs
Iowa State,6,Cincinnati,Away,@
Iowa State,7,Colorado,Away,@
Iowa State,8,BYU,Home,vs
Iowa State,9,Arizona State,Home,vs
Iowa State,10,TCU,Away,@
Iowa State,11,Kansas,Home,vs
Iowa State,12,Oklahoma State,Away,@
Jacksonville State,1,UCF,Away,@
Jacksonville State,2,Liberty,Home,vs
Jacksonville State,3,Georgia Southern,Away,@
Jacksonville State,4,Murray State,Home,vs
Jacksonville State,5,Southern Miss,Away,@
Jacksonville State,6,Sam Houston,Away,@
Jacksonville State,7,Delaware,Home,vs
Jacksonville State,8,Middle Tennessee,Away,@
Jacksonville State,9,UTEP,Away,@
Jacksonville State,10,Kennesaw State,Home,vs
Jacksonville State,11,Florida International,Away,@
Jacksonville State,12,Western Kentucky,Home,vs
James Madison,1,Weber State,Home,vs
James Madison,2,Louisville,Away,@
James Madison,3,Liberty,Away,@
James Madison,4,Georgia Southern,Home,vs
James Madison,5,Georgia State,Away,@
James Madison,6,Louisiana,Home,vs
James Madison,7,Old Dominion,Home,vs
James Madison,8,Texas State,Away,@
James Madison,9,Marshall,Away,@
James Madison,10,App State,Home,vs
James Madison,11,Washington State,Home,vs
James Madison,12,Coastal Carolina,Away,@
Kansas,1,Fresno State,Home,vs
Kansas,2,Wagner,Home,vs
Kansas,3,Missouri,Away,@
Kansas,4,West Virginia,Home,vs
Kansas,5,Cincinnati,Home,vs
Kansas,6,UCF,Away,@
Kansas,7,Texas Tech,Away,@
Kansas,8,Kansas State,Home,vs
Kansas,9,Oklahoma State,Home,vs
Kansas,10,Arizona,Away,@
Kansas,11,Iowa State,Away,@
Kansas,12,Utah,Home,vs
Kansas State,1,Iowa State,Home,vs
Kansas State,2,North Dakota,Home,vs
Kansas State,3,Army,Home,vs
Kansas State,4,Arizona,Away,@
Kansas State,5,UCF,Home,vs
Kansas State,6,Baylor,Away,@
Kansas State,7,TCU,Home,vs
Kansas State,8,Kansas,Away,@
Kansas State,9,Texas Tech,Home,vs
Kansas State,10,Oklahoma State,Away,@
Kansas State,11,Utah,Away,@
Kansas State,12,Colorado,Home,vs
Kent State,1,Merrimack,Home,vs
Kent State,2,Texas Tech,Away,@
Kent State,3,Buffalo,Home,vs
Kent State,4,Florida State,Away,@
Kent State,5,Oklahoma,Away,@
Kent State,6,Massachusetts,Home,vs
Kent State,7,Toledo,Away,@
Kent State,8,Bowling Green,Home,vs
Kent State,9,Ball State,Away,@
Kent State,10,Akron,Away,@
Kent State,11,Central Michigan,Home,vs
Kent State,12,Northern Illinois,Away,@
Kentucky,1,Toledo,Home,vs
Kentucky,2,Ole Miss,Home,vs
Kentucky,3,Eastern Michigan,Home,vs
Kentucky,4,South Carolina,Away,@
Kentucky,5,Georgia,Away,@
Kentucky,6,Texas,Home,vs
Kentucky,7,Tennessee,Home,vs
Kentucky,8,Auburn,Away,@
Kentucky,9,Florida,Home,vs
Kentucky,10,Tennessee Tech,Home,vs
Kentucky,11,Vanderbilt,Away,@
Kentucky,12,Louisville,Away,@
LSU,1,Clemson,Away,@
LSU,2,Louisiana Tech,Home,vs
LSU,3,Florida,Home,vs
LSU,4,SE Louisiana,Home,vs
LSU,5,Ole Miss,Away,@
LSU,6,South Carolina,Home,vs
LSU,7,Vanderbilt,Away,@
LSU,8,Texas A&M,Home,vs
LSU,9,Alabama,Away,@
LSU,10,Arkansas,Home,vs
LSU,11,Western Kentucky,Home,vs
LSU,12,Oklahoma,Away,@
Liberty,1,Maine,Home,vs
Liberty,2,Jacksonville State,Away,@
Liberty,3,Bowling Green,Away,@
Liberty,4,James Madison,Home,vs
Liberty,5,Old Dominion,Away,@
Liberty,6,UTEP,Away,@
Liberty,7,New Mexico State,Home,vs
Liberty,8,Delaware,Home,vs
Liberty,9,Missouri State,Home,vs
Liberty,10,Florida International,Away,@
Liberty,11,Louisiana Tech,Away,@
Liberty,12,Kennesaw State,Home,vs
Louisiana,1,Rice,Home,vs
Louisiana,2,McNeese,Home,vs
Louisiana,3,Missouri,Away,@
Louisiana,4,Eastern Michigan,Away,@
Louisiana,5,Marshall,Home,vs
Louisiana,6,James Madison,Away,@
Louisiana,7,Southern Miss,Home,vs
Louisiana,8,Troy,Away,@
Louisiana,9,South Alabama,Away,@
Louisiana,10,Texas State,Home,vs
Louisiana,11,Arkansas State,Away,@
Louisiana,12,UL Monroe,Home,vs
Louisiana Monroe,1,Saint Francis,Home,vs
Louisiana Monroe,2,Alabama,Away,@
Louisiana Monroe,3,UTEP,Away,@
Louisiana Monroe,4,Arkansas State,Home,vs
Louisiana Monroe,5,Northwestern,Away,@
Louisiana Monroe,6,Coastal Carolina,Away,@
Louisiana Monroe,7,Troy,Home,vs
Louisiana Monroe,8,Southern Miss,Away,@
Louisiana Monroe,9,Old Dominion,Home,vs
Louisiana Monroe,10,South Alabama,Home,vs
Louisiana Monroe,11,Texas State,Away,@
Louisiana Monroe,12,Louisiana,Away,@
Louisiana Tech,1,SE Louisiana,Home,vs
Louisiana Tech,2,LSU,Away,@
Louisiana Tech,3,New Mexico State,Home,vs
Louisiana Tech,4,Southern Miss,Home,vs
Louisiana Tech,5,UTEP,Away,@
Louisiana Tech,6,Kennesaw State,Away,@
Louisiana Tech,7,Western Kentucky,Home,vs
Louisiana Tech,8,Sam Houston,Home,vs
Louisiana Tech,9,Delaware,Away,@
Louisiana Tech,10,Washington State,Away,@
Louisiana Tech,11,Liberty,Home,vs
Louisiana Tech,12,Missouri State,Away,@
Louisville,1,Eastern Kentucky,Home,vs
Louisville,2,James Madison,Home,vs
